"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"USNRX01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"NETWRIX";;"Basse";"PROD";"US";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2016 or later (64-bit)";"01/01/1970 01:00:00";"0";;"usesx15.us.am.stago.grp";
"USOVC01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"HPE ONE VIEW";;"Basse";"PROD";"US";"UNITED STATES/PARSIPPANY";"D?commissionn?";"Linux";"CentOS 7 (64-bit)";"10/10/2020 06:03:06";"0";;"usesx11.us.am.stago.grp";
"USHOV01";"VMOVH";"VMWARE";"VMWARE";"STAGO - ONPREM";"HPE ONE VIEW";;"Basse";"US";"VITO";"UNITED STATES/PARSIPPANY";"On";"Linux";"Other 3.x Linux (64-bit)";"01/01/1970 01:00:00";"172.31.172.7";;"usesx11.us.am.stago.grp";"?"
"USPAM01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SPAM FILTER";;"Basse";"PROD";"US";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Linux";"Red Hat Enterprise Linux 6 (64-bit)";"01/01/1970 01:00:00";;;"usesx14.us.am.stago.grp";
"USPAM02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SPAM FILTER";;"Basse";"PROD";"US";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Linux";"Red Hat Enterprise Linux 6 (64-bit)";"01/01/1970 01:00:00";;;"usesx14.us.am.stago.grp";
"USINT01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"M3";;"Moyen";"US";"BERTIN";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2008 R2 (64-bit)";"01/01/1970 01:00:00";"172.20.173.11";;"usesx15.us.am.stago.grp";
"USPKI02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"PKI";;"Basse";"PROD";"RSO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";;;"usesx14.us.am.stago.grp";
"USJRD01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"JIRA-SERVICE DESK";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.21";;"usesx12.us.am.stago.grp";
"USPRX01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"OLD PROXY";;"Basse";"PROD";"RSO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Linux";"CentOS 4/5/6 (64-bit)";"01/01/1970 01:00:00";"0";;"usesx12.us.am.stago.grp";
"USJRD02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"JIRA-SERVICE DESK";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.22";;"usesx13.us.am.stago.grp";
"USSCR01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"R-PROJECT (CITRIX)";;"Basse";"PROD";"US";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.170.64";;"usesx15.us.am.stago.grp";
"USJRP01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"JIRA-SERVICE DESK";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.23";;"usesx13.us.am.stago.grp";
"USJRP02";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"JIRA-SERVICE DESK";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Linux";"Ubuntu Linux (64-bit)";"01/01/1970 01:00:00";"172.20.173.24";;"usesx15.us.am.stago.grp";
"USMEC01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"STAR DB";;"Moyen";"APPLI";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2019";"01/01/1970 01:00:00";"172.31.170.70";;"usesx14.us.am.stago.grp";
"USMSA01";"VMOVH";"VMWARE";"VMWARE";"STAGO - ONPREM";"MICROSOFT AUDIT SERVER";;"Basse";"US";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows 10 (64-bit)";"01/01/1970 01:00:00";"172.31.170.58";;"usesx12.us.am.stago.grp";
"USMSG20";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"MSG";;"Moyen";"INFRA";"NAGUET";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"169.254.1.90";;"usesx15.us.am.stago.grp";
"USSEC03";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";;;"Basse";"PROD";"RSO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"0";;"usesx15.us.am.stago.grp";
"USSEN01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SENTRY";;"Basse";"PROD";"RSO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Linux";"CentOS 7 (64-bit)";"01/01/1970 01:00:00";"172.31.80.54";;"usesx15.us.am.stago.grp";
"USMSG21";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"MSG";;"Moyen";"INFRA";"NAGUET";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.170.101";;"usesx14.us.am.stago.grp";
"USSEN06";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SENTRY";;"Basse";"PROD";"RSO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Linux";"CentOS 7 (64-bit)";"01/01/1970 01:00:00";"172.31.80.56";;"usesx16.us.am.stago.grp";
"USSIP01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"HPE STORAGE";;"Basse";"PROD";"US";"UNITED STATES/PARSIPPANY";"D?commissionn?";"Linux";"CentOS 4/5/6 (64-bit)";"20/10/2020 21:05:10";"0";;"usesx11.us.am.stago.grp";
"USMSG52";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"ARR";;"Haute";"RSO";"ADE";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2019";"01/01/1970 01:00:00";"172.31.80.21";;"usesx14.us.am.stago.grp";
"USMSG53";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"ARR";;"Haute";"RSO";"ADE";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.80.22";;"usesx13.us.am.stago.grp";
